english_text,type
"With this sorrowful heart, what shall I say to those loving brothers again to this great war?",sadhu
"You have seen, you will understand",sadhu
Forget your past and start fresh.,cholito
"I said in a calm voice, with Badal You have something to worry about now",cholito
"King Zeyad has killed Muslim, let him kill his two sons, capture the son's mother and kill him, or let him make her a queen and keep her in the heartland, - what about you?",sadhu
He was supposed to go to Sweden for a three-day conference,cholito
"Sitaram established Hindu kingdom with his own arms and became the king, but Tiha was not inaugurated.",sadhu
I am blessed in words. May you be well Don't think for a moment that I have shown any anger,sadhu
Do you have these bad habits again?,cholito
Just saw my parents and grandparents in a dream,sadhu
Walking in front of my house He almost growled at me,cholito
"My father is so good 8 I have not longed,",cholito
"""No it didn't",cholito
"Sitting on the bed in the house, counting the seals one by one in the light of the lamp and placing them in the right place, she began to say automatically - ""Who is my Hassan?""",sadhu
It is difficult to fill him with joy,sadhu
"All faces can be discarded, but it is a shame to have a female body",sadhu
There is still a long delay in the arrival of the troops of Kufa,sadhu
"Abhava pushed Aghandhak's chest with his hand to get him out of the way, but he could not move him.",sadhu
It seems that the tears are spread all over the body,cholito
Tonight is very beautiful.,cholito
"Guess what, it was beyond my imagination",cholito
There is no reason to think it will,cholito
Joynal,cholito
Badal did not say Hu again,cholito
Nothing seems right at the moment.,cholito
"""Daria said, ""Yes",sadhu
"Will visit you with Jainamaz, Tasbi and Sweet Tetul,",cholito
"Now, at once, to the triumph of Damascus, rend the sky, shake the world, with joy of mind, with redoubled enthusiasm.",sadhu
Don't want to hear the answer,cholito
"I don't see any possibility of that happening, though",cholito
"""Okay, let's sit somewhere,"" he said in agreement.",cholito
Luf-unnisan wise Mohilap that Agpaddinei b,sadhu
Doctors and nurses have started running,cholito
i will go read,cholito
Breaking people's trust is the biggest crime in the world.,cholito
Only you and I have come forever,sadhu
You will destroy the letter without reading it,cholito
Learn from your mistakes.,cholito
"Mechkander said, ""Why don't you understand anything?""",cholito
I had incredible pain,cholito
"“If you don't like it, say a funny line",cholito
People are very strange about you,cholito
But what is the result of suffering for a few days and blushing with unrealistically high hopes?,sadhu
"Kaganlakugula took all the jewels, including the necklace, from the hands of the beggar.",sadhu
"I live, but the narrator is told that I do not bring the end",sadhu
"Pabri Fulai Chati, Nahil went Arjati Basatal water",sadhu
I test your wife's character,sadhu
"I can't see anything of him; Rather, I see that he is more attracted to you",sadhu
I just got a shiny five hundred,cholito
I felt a slight shiver down my spine,cholito
"With the rest of the Saimka, Vasht has traveled to Udaipur",sadhu
What was the woman's name?,cholito
Your every achievement makes me proud.,cholito
The rat that eats the food of number dish will be killed,cholito
It is impossible to improve in life if you hate your work.,cholito
No one is around,cholito
I told him about his daughter Pial's letter,cholito
Kulkhani does not need a good arrangement,cholito
I'm in Kado Kado eyes,cholito
Am I late on purpose?,cholito
The voice of this soulful warrior within himself,sadhu
"In the same way, the Figus society unites mutually incompatible diversity",sadhu
moaning,cholito
I saw the crow with fascination,cholito
"What else do I do in my heart, sister?",sadhu
"Opium gives life, the world floats in your blood",sadhu
"Sahar's hair is often not only as attractive as the hair of a flower, but also hides the north in a state of untidiness like that of Arilaukdish.",sadhu
Do the people of the country who have taken the vow of Swadeshi Prachab to perpetuate the hatred of these people against them?,sadhu
I feel very worried,cholito
“Then all you have to do is wade the river barefoot every day,cholito
I will always be worried about this task,sadhu
"Zayda too, whom he was delaying waiting for, is no longer waiting",sadhu
"The work of the latter, the pride of the latter",sadhu
"Give it, if you see the trident, it will leave the way",sadhu
A record amount of fines were imposed today for violating traffic laws.,cholito
"I feel very lonely today, will you be next to me?",cholito
"Asha said, “I will be ready if that happens",cholito
"I leaned slightly towards Jukhi and said, telling a secret.",cholito
"Everything was settled; After collecting weapons, Muslim took a thousand soldiers and marched towards the city of Kufa",sadhu
"I said hi, interesting",cholito
He was taken to be court marshaled He was told,cholito
Let me talk to you for a while,cholito
That atom shattered in the Big Bang - space was created,cholito
Bentomma fell under his feet like a leaf,sadhu
"How much are you crying, 1//////. 3230015. 0011 How sorry you are, almost everyone's voice is stopped at this moment",sadhu
I will buy paper and pen with you,cholito
- Alas interest,sadhu
But what did you see?,sadhu
"Do not say anything to Kapal-Kugula, you will lose your life",sadhu
All are rhythmic,sadhu
Where is the one who hides you so much?,sadhu
"Try as he might, he can't figure it out",cholito
The driver certainly didn't take me to my mess,cholito
"If you ask him, he will explain very nicely",cholito
"I didn't do it, after all, Sandhupai who was not stable then, now he can become super",sadhu
Everyone was amazed to see that a Mughal soldier had come back very busy,sadhu
” That odd man fell under the feet of the elephant,sadhu
To bring together all the diversity and contradictions into one comprehensive system is the greatest lesson for us of all,sadhu
” Daria again went to Zeb-unnisa,sadhu
Men cannot love,cholito
Death at the hands of a heathen is a great love,sadhu
"Some praised Abdullah Zeyad, some saddened by Husain's return to Kufa, some Ajid's violence, Husain was a deserter.",sadhu
The second step is to give the name and address,cholito
"Even if the clouds disappear, the sun is no longer visible",cholito
"Dad, you really don't know where he is",cholito
It's not that complicated - the mess I was in before,cholito
can't stand,cholito
"I have no wealth, no form",sadhu
Your aunt will never go near this woman,cholito
why are you bothering,cholito
Miss Ali could not eat anything all day,cholito
At this point the Rajput hesitated; Had to do it,sadhu
So I am witnessing poetry and drama,sadhu
So much I don't understand why it is late,cholito
Why couldn't you smile?,cholito
"Even though the treatment in Shilma is very good, the patient dies, we see examples of this every day even though the treatment is very good.",sadhu
I have made Mukti by surrendering myself to the Supreme Personality of Godhead.,sadhu
"I said to catch a cigarette, I will go around in the car",cholito
Mahapurusha only met Jayanti - not Shri,sadhu
There was no time for husband and wife to talk privately,sadhu
Don't believe me now,sadhu
But he is crazy at the time,sadhu
"For example, when the moneylender can first begin to drain, there is still the means and possibility of draining; But when the wealth begins to diminish, then the moneylender once",sadhu
Education is essential for the development of the country.,sadhu
What is the probability of happiness in marriage?,cholito
"Therefore, if the period of fifty is not extended, leave-Anju is impossible",sadhu
"That, I will also die, my satin will also die",sadhu
Literature is the mirror of the nation.,sadhu
There will be no name in the ledger - but there will be a bed,cholito
"Anil, your tongue will be cut off by the executioner",sadhu
He said after listening to the entire biodata,cholito
I will not tolerate this disgrace,sadhu
And collected the charter to satisfy the king,sadhu
"The master does not explain the reading to the student, nor does he have the ability to understand, but when the student reads",sadhu
Don't talk too much,cholito
"Some say, he himself is Dastuja; Dastuja went to the temple and saw him in awe",sadhu
"Have you heard that Amman's son, Bel, is wandering around in Bhabantre?",sadhu
Well_ with tears,cholito
"I'm not talking about cursive script, that's a pulsating 'story' for a lazy person's meditation.",sadhu
"My action, my curve when",sadhu
"Whatever happened near the service, it was found",sadhu
“You mean you have no powers,cholito
Most of them will be stuck in class 10 level exam by impartial examiner,cholito
"It seems that what he thought, he kept only the familiar pajamas on his body and took off all the seats.",sadhu
"Tonight is very big, let's talk.",cholito
Can't hear from the second floor,cholito
See if Chad is up,cholito
There is another way,sadhu
"Deven, I will fill the bottle and keep it in the file cabinet of the police station",cholito
"Around the world, everyone is strong in alliance rising; In such a situation, those who remain isolated and alone will forever be slaves to the eyes and mind. Must die",sadhu
what do you want,cholito
"Although they had finished off Azid's army once, Marwan now came from Damascus with a quadruple army.",sadhu
"""No, I was not angry",cholito
"“Phupa, these are my two friends, one is Mofazzal, and the other is Zahirul 1",cholito
192 Kapalbundala Brahmins went to Kapalkuguli to Lairi,sadhu
I annoy you in many ways,cholito
I have to go with the army,sadhu
"He laughed and said, ""A poor Brahmin can go for Umrah, but can a rich man do it?""",sadhu
Sheman is forever on one side,sadhu
"He ordered Preer's brother Gangaram to go to Shyampur, but Gangaram went to Shyampur.",sadhu
"Chapter IV Samidhamangraha-Uddipuri When the night was late, Jodhguri Begum sent Nirdal to Jeb-unnisa with a tukan (Tatar) guard, giving suitable advice.",sadhu
Marry Shahjadi,sadhu
We do not advertise,cholito
"encamped, but no sign of the Rajput army was to be seen",sadhu
"He said, ""Don't you remember Puraddar?""",sadhu
"I don't get that much, because my wife already informed me about the marriage",cholito
"""No, don't fall",cholito
Are you worthy there?,sadhu
"Dom of the Paikera race, Gangaram was poisoned by their touch",sadhu
I take a nap,cholito
can i,cholito
"Allegations, perjury do not matter",cholito
Hundred thousand years away,sadhu
I am Sir Chaya Sangi,cholito
Greed for money has defeated you today,sadhu
"Navakumanar shook his tie with cold hands and said, * Can you get up?",sadhu
"” , the Rakapriya boys said, “What fun to say",sadhu
Still settled,sadhu
"I am Rajputakanta, Ksriyakulontaba - how can I become a servant of the Vahads",sadhu
Why are you relying only on the tyrants?,sadhu
You are in this vortex,cholito
"And say that Marwan is not dead, he will not leave Medina without taking Hasan's life",sadhu
Allowed to be kept in prison,sadhu
"I survived, must have",sadhu
I came to the balcony,cholito
I myself sat next to the cook and showed the cooking,cholito
Tell me the telephone number here,cholito
"“If I tell her now, Tamanna I want you to marry Himu",cholito
"When the king left, he said 120 Sitaram, “He does not obey orders",sadhu
Go to bed at ten o'clock,cholito
Single * Help me,sadhu
"""I don't feel stressed",cholito
The reason does not seem to be economic,cholito
What is the news of Murshidabad?,sadhu
At the time of birth my m Die I don't know anything about my mother,cholito
I must have understood that Hasan did not die,sadhu
Can someone have a tendency to fight?,sadhu
But not barefoot,cholito
I can't believe the smell.,sadhu
"Hussain went a little closer to the newcomer and said, ""Brothers",sadhu
Everyone slept in their own beds worshiping Nidradevi,sadhu
what is your name,cholito
I left the police station,cholito
Because your name is on the suicide note.”,cholito
“I don't quite understand either,cholito
I wanted to talk to you,cholito
He did not tell anyone about his illness,cholito
don't wait,sadhu
In two and four days everyone knew that Imam Hasan did not want to see Zayda,sadhu
"There is a deathless power within Bharatvarda, I find it",sadhu
"Always remember, life is precious.",cholito
Don't be arrogant,sadhu
Begging from door to door even in times of great need in the East,sadhu
"All the Begums had a class of dancers; Those who did not have the virginity of courtesans, they would have done it themselves",sadhu
"Said, ""Mother, what is the command to the slave?""",sadhu
"Oh father, what will happen to people is decided in advance",cholito
Shame is false pride,sadhu
This is why you are getting married to Tamannaah,cholito
I will go directly to your country house,cholito
AV-No,cholito
"He used to say only, ""Gurudev Anman He will say this.""",sadhu
The hair is still the way you saw it,sadhu
Modernization of drainage system is necessary to solve waterlogging in the city.,cholito
Can't guess,cholito
I immediately got up and paused before entering the bathroom,cholito
"There the dances are very loud, the cries are very intense and the story of events has spread from one epoch to another in Indian history.",sadhu
"Food, bedding, cooking essentials were all prepared inside the hut",sadhu
"Not signed, not dated",cholito
Seventeenth of the world,sadhu
"I said, ""Sir, say something",cholito
My own opinion is that father's efforts have failed,cholito
"I was a corner of the world, shy, silent and still.",sadhu
The crocodile was being painted,cholito
took 1',cholito
"If you don't know, join",cholito
After that I opened the bag,cholito
"To be something, to be",sadhu
That's why it started all the rows one by one,sadhu
Seekers are throwing shar,sadhu
They probably don't get much of an interested defendant,cholito
Girls can't,cholito
Demonstrations of unrest and grief were seen against Israel's attacks on Gaza.,cholito
Test it at your will,sadhu
As if completely upta-panta,sadhu
What you will do after my death is to be childless,cholito
Now he has gone to heaven,sadhu
Unity is the main work of India- Varshi's talent,sadhu
I have seen in my little opinion indeed,cholito
The barometer is dropping fast,cholito
"After that, when Rama, fearing the perils of the puja, had done this work of courage, this was to be understood---when once in a while that angry face began to be seen, and, tear-stained, ecstasy upon the ecstasy of the mother's love, began to raise wave upon wave---then to the ears of the listeners, like the enchanting music of the heavenly, uncontroverted three villages combined, The sentence was bet",sadhu
could not read,cholito
Dharangazeb conceded defeat,sadhu
"Asma Haque looked at me for a long time and said sadly, no.",cholito
"” So, Nanda has no anger towards Ditaram",sadhu
"Ram is getting spoiled in many ways, this time",sadhu
“First you say__do you believe me,cholito
Will die soon,cholito
It didn't get hot,sadhu
"""Why didn't you invite me?",cholito
Hiragmari became a plane,sadhu
Daughter is not married,cholito
But there are also such poets. Khoraki Bandovant-_ Tihar,sadhu
"কেন না, আমাদিগের বিবাহকালে নয়নাবৃত হইয়াছিল__ কেনই বা গোপনে সেই অদ্ভুত বিবাহ হইয়াছিল-_ কেনই বা পঞ্চবৎসর অঙ্গুরীয় ব্যবহার নিষিদ্ধ হুই- য়াছে, তাহা বুঝিতে পারিতেছি",sadhu
"Therefore, in this land of Allah, the people who have crossed fifty are encouraged",sadhu
"When the test is over, if I am absolutely sure, then write",cholito
"No, no black coffee, milk-coffee",cholito
"In the story, the boy's name will be Togar",cholito
Gave him a thorough advice,sadhu
“Still don't understand what that means,cholito
Last time he was sitting on the bed,cholito
"As fire rises in the water, Baj-hen rubs your sword on the heavy-_",sadhu
"You have so much kinship with Poorna Sethi. Hirgayi is embarrassed He said, ""He is 3 26 Juglanariya.""",sadhu
“Do not send the car,cholito
Where are you looking for?,sadhu
Keep your dreams alive.,cholito
I am cooking now and he is by my side,cholito
What you started,cholito
Sinful speech is not fit to stay in Madinah,sadhu
“I don't have a fix,cholito
"This speech To know, I owe them genuine friendship",sadhu
People do not understand the fun of the world,cholito
"Therefore, the famous religion of truth is one with kingship and marriage",sadhu
Music is the language of the heart.,sadhu
It is only in this excited atmosphere that we are expatriated,sadhu
"I said, brother, now tell me why you came to me",cholito
Not so father,cholito
", said, “This is enough",sadhu
"I have talked a lot about how many ages have passed in this sky, they are the light",sadhu
Don't you have more life?,sadhu
"Badal was surprised and said, how do you understand?",cholito
” that man asked,sadhu
Krushkaya is slow and lazy on the shore From the east of the homeland comes the breath of a distant relative,sadhu
Maymuna advises to mix that kautar vant with food,sadhu
But I'm sure,cholito
"The truth is, Gangaram's head was bald then, there was nothing, that archer Thakur shot the flower arrow and blew it away.",sadhu
I sneaked into your house one night since then,cholito
"Weeks pass after that, there is no news of Moslem",sadhu
"If we can facilitate it, if not, we will take it with us and keep it in Madinah",sadhu
"He has always kept ""Azrael"" (angel) close by",sadhu
Can't even turn the telephone dial properly,cholito
No worries about not seeing it,cholito
"It may be possible, but in ten minutes you will be convinced that the wheels of goods are not the wheels of a bicycle, but the tread of heavy infantry.",sadhu
"""Maniklal, day and night began to walk",sadhu
"Anis said, “Say, you said something like that",cholito
"Let us both stay in the corner of the house in sorrow, may the gods bless you.",sadhu
I am,cholito
What is the lack of Maharaj Ajid?,sadhu
The former said-_ Blood of virtuous people,cholito
1386 AD The present edition is compiled from the book “Rabindranath and Channannagar” (Ambin 1368) by the poet-writer Chandannagar.,sadhu
I am fine.',cholito
"""Don't take it",cholito
"On the day when the judge himself will sit on the throne of heaven and judge the sins and virtues of the living beings, say that day of the infidels and who will protect you?",sadhu
Do you wish to deny the charges brought against you?,cholito
“Why do you look like that?,cholito
"In this direction, the big smoke of Abhishek fell",sadhu
But the relationship of free exchange becomes increasingly close,sadhu
"Surprisingly, the crow is dipping its lips in the hot tea What did he say by cock cock",cholito
i'm cold,cholito
We all know about certain death,cholito
"After the defeat of the Mughal army by the Rajputs, it was the turn of Akbar himself",sadhu
There is no woman born in the world who does not have Sabratism,sadhu
Amma is the center of life in our family,sadhu
"Anandashra is seen in the eyes of many after the good deed, but no tears were seen in the eyes of Hossain's camp relatives.",sadhu
Then he gives something in his mouth won't go),cholito
Homosapiens often don't realize what they are like,cholito
"My father took a deep breath and said, ""Okay, I'm sorry.""",cholito
This is not a joke,cholito
will be wasted,sadhu
Later Jayanti came back,sadhu
You have to do it even if you don't like it,cholito
Into one's own life this manifestation has been divined--that manifestation from the past into the unborn is the wind of love upon the sail of life.,sadhu
Some other form of vitality may exist,sadhu
I turned to look at the girl and smiled in the same manner as before,cholito
Rupa madam's voice on the phone is so sweet to tell you,cholito
Or bad body,cholito
what do you want to eat,cholito
"I opened my eyes and closed my blind eyes, never tired of them, I never got tired of them.",sadhu
What kind of lock does a trunk or suitcase open?,cholito
I will have to bring this head down to the place where I have to bow my head,sadhu
That sound is not the sound of the car sent by the Prime Minister,cholito
"He looked with sad eyes The vision that says, you are my son's condition",cholito
You will not understand all my intentions-_understand or what will happen,sadhu
Maghrib prayer,cholito
"Despite many attempts, nothing is getting right.",cholito
I am his cough,cholito
Danapani is needed - coming to this address,cholito
"গবর্মেন্ট আজ বাংলাদেশের জলকষ্টনিবারণের জন্য পঞ্চাশহাজার টাঁকা দিতেছেন-__মনে করুন, আমাদের আন্দোলনের প্রচণ্ড তাগিদে পঞ্চাশলক্ষ টাকা দিলেন এবং দেশের জলের কষ্ট একেবারেই রহিল না-_তাহার ফল কি হইল",sadhu
So we have to accept unnecessary responsibility,sadhu
There is no denying the king's rule,sadhu
People still can't recognize me,cholito
"Later, when he was arrested",sadhu
You mean you already know about the earthquake,cholito
I will inquire by telephone,cholito
i won't leave you,cholito
Duty Officer of The Zenith International,cholito
What will you do now?,sadhu
"Whether they reached Nirbin, whether Zayda and Maymuna had received the gold coins they had promised, whether Zayda had received the additional valuables and valuables that had been promised to Zayda.",sadhu
"""Well, I won't go",cholito
“I came to overtake Abul Kalam Sahib,cholito
"Ejid began to say proudly, ""Amatyas.""",sadhu
I will serve you to the best of my ability,sadhu
"The Hindu, whose god",sadhu
Kabatbans; prolonged; Very comprehensive T] shape ; The forehead is wide; expanded,sadhu
I am making money in this world,cholito
Jochana is doing,cholito
but you,cholito
It does not have any special similarity with the earlier Kadi and Komal,sadhu
He must have been tired after fighting so much,sadhu
"I love spending time with my family, because they love me so much.",cholito
Be on Char Day in Munder,sadhu
"She is Bubilen Fe Mesher-Unnisa Jahandir's Bakhartha-Anurangini; Therefore, whatever you say to women, if the path is clear, you will not be able to stop the movement of the mind.",sadhu
"What shall I do, Father Gurujan, to protest against his words is a great sin; Anyway, don't worry; We will go to Madinah with two brothers and two boys when the night is past two o'clock",sadhu
That is why I declare war,sadhu
to you,cholito
Mer-Utlis marriage wheel with Sher Afgin,sadhu
Step 1 in Uli,sadhu
His eyes widened and said - Himuda taught,cholito
I think it will,cholito
"” said publicly, “Maharaj",sadhu
Better if not,cholito
"” Said the daughter of Māsya, “It has been tripled",cholito
I want to think carefully tonight.,cholito
"I looked at Fupu and said, where is Badal",cholito
In the village I saw fakirs begging on horseback,cholito
"No one is overwhelmed by the words, but bored",cholito
He must be a baby elephant if he doesn't get me,cholito
Just hearing the sound makes you think - it's not just laughter,cholito
I gave the menu after muttering - the breakfast came on the table,cholito
"I said, apart from Khalujan, there were people in the house",cholito
) used to go by hand,sadhu
Why didn't you call me?,cholito
Schools and colleges have now become shelters for the homeless.,cholito
Have you seen that new show?,cholito
I also want to eat stale chicken,cholito
"And listen friend, I help you",cholito
Why didn't you come yesterday?,cholito
GPO Box Number 73,cholito
"Saying this, he threw the money and started hitting Maysuna's head",sadhu
"""If Allo had a talent like yours, you could have seen this face of yours",sadhu
"He held my dying father's hand and whispered,",cholito
gave,cholito
"""I can't say that",cholito
"""There is nothing in this world that I cannot do",cholito
"Do not accept me, but I am your teacher",sadhu
"Jatajutbilamthini, gairikadharigi, jyotirdayi mti, met by lions armed with swords, tridents in hand, aiming at Gangaram with the trident, crossing the hall towards him with great vigor.",sadhu
"What did the girl say, please tell me",cholito
"Some jumped into the water, some hid in the forest, some fled in other directions, but most of the soldiers, cut in two by Husain's weapons, floated down the Euphrates stream with a stream of blood.",sadhu
"Yes, some before some after.",cholito
"Even then, I noticed that some car drivers were annoyed with me",cholito
"""When will you come?",cholito
He said __ he is not in Dhaka,cholito
"""It is not always possible to tell",cholito
Neelu had the idea that this ad is another day,cholito
He was sick with fear,cholito
"Width | The whistle rang, catch it",sadhu
I am standing in front of the street,cholito
"Arriving, he saw that in Rupnagar Chui was accompanied by Mughal cavalry",sadhu
I have said that these are nothing more than the personal delusions of a sick bedridden man,cholito
"Marwan, particularly agitated by these words, asked Alid, “Brother",sadhu
"No, now he is not crying, now he is wiping his eyes with his manure sleeve",cholito
Your father didn't fail completely,cholito
Chandrud brought the amount of the ledger,sadhu
“Everybody in the mess thinks you have power,cholito
Why did you hang up the phone that day?,cholito
"One said, Maniklal, Rasui will be later",sadhu
"The cloth that is tied over the surahi, & this powder is rubbed on the cloth in very small quantity does not help.",sadhu
i'm leaving,cholito
Maniklal was introduced,sadhu
"Pressing the words, he said, ""Whoever will be the king's begum, I will see him in what way 1"" Jeb",sadhu
Mother always takes care of us.,cholito
Rafiq shook his head,cholito
” Then the king abandoned Ramanimandal and went to Gatrothana,sadhu
"Today, Rana Rajsingh's great brutality is valiantly under the rule of Bhiha",sadhu
"OC Saheb asked to write down the statement given by uncle-__ Bhai Saheb,",cholito
"Seeing me, he said, ""I am sitting for you, Himu",cholito
Is everyone polite anymore? Modesty is the best ornament.,cholito
"Well--I will not answer that."" Gunjeb was surprised",sadhu
"Well, I won't talk anymore - the last word is not said",cholito
"Whose bosom is near, Whose",sadhu
"When you have agreed to take Akkas's proposal, why is this poor man's word the only thing left?",sadhu
"""Why not tell?",cholito
No worries,cholito
Amulet worn around the neck __ it cures their disease __,cholito
"Today, Asanamruti is seen He is cheerful",sadhu
Gangaram did not dare to violate Fakir immediately,sadhu
Disorganized,sadhu
"8 1//////. 3230015. 0011 Hussain said, ""A part of the soul, - a special leading part - that brother, with the help of his wife, has been poisoned and killed by cunning, what more trouble is there on top of that.""",sadhu
It's a work place,sadhu
Sword in hand jumps,sadhu
His pursuit of freedom from is the sincere result of that freedom itself,sadhu
You are a part of my body,sadhu
