sentence,type
"দেখিলেন-_চ্লিশ জনের অনধিক রাজপুত, শিবিকাসঙ্গে রুধিরাক্ত কলেবরে সেই পথে চলিতেছে",sadhu
মেফিস্টোফেলিসের মতো চতুর শয়তানও অনেক সময় মানুষের বুদ্ধির কাছে হেরে যায়।,cholito
আয়ুর্বেদিক চিকিৎসা প্রাচীনকালের মূল্যবান সম্পদ।,sadhu
“ও তুমি,cholito
আমি আমার জীবনে তোমাকে কোনো,cholito
ফাস্তন ১৩১৮ ৩৮ ৩ সকল মাহষেরই. “আমার ধর্ম বলে একট,sadhu
শোনা যায় এটা আমি শিখেছি আপনার কাছে,cholito
"তাতে, যে ফল নৈবিদ্তিতে দেয় তার আটটি",sadhu
"” নব্য যুবকেরা বলিতে লাগিলেন, “দামেস্কের কাসেদকে একবার দেখিতে পাইলে মদিনার খাজনা দিয়া বিদায় করিতাম",sadhu
তপ্ত হয়ে এই সমস্ত কিছু স্থষ্টি করলেন,sadhu
সেইটুকুই যথেষ্ট।,cholito
দামেস্কাধিপতি মহিষীকে অভ্যর্থনা করিয়া অতি যবে মসনদের (মসনদ পারস্য শব্দ,sadhu
আমি একা মানুষ - মিল-টিল চালানো তো সম্ভব না,cholito
"ভদ্রলোক বিস্মিত হয়ে বললেন, ‘কমলেন্দুবাবু কি আপনাকে বলেন নি আমি",cholito
তাহার এক. একটি থণ্ড এক একটি নির্বরের মত জ্রুত ছুটি চলিয়াছে,sadhu
গাজায় অব্যাহত ইসরায়েলি হামলা বিশ্বে মানবাধিকারের প্রতি এক বড় হুমকি হয়ে দাঁড়িয়েছে।,cholito
মনটা খুবই খারাপ হয়েছিল,cholito
পর মনে হলো আমার দিক-ভুল হচ্ছে,cholito
থাকবে কেন শুনি,cholito
"মিহি, তুমি ফুলফুলিয়াকে বলো গোসলের জন্যে গরম পানি করতে",cholito
প্রাদেশিক সম্মিলনী,sadhu
ভাতিক়্া দেখিলে ছিছি নারীর হৃদয়,sadhu
"আমি বললাম, আমার ধারণা আপনার কন্যার বিয়ে হয়ে গেছে",cholito
"বলিল, “এন্জম্মের মত বিদায় হইলাম",sadhu
কিন্ত এই অতিবৃহৎ-উচ্ছজ্খলতার মধ্যেও ব্যবস্থাস্থাপনের প্রতিভা ভারতবর্ষকে ত্যাগ করিল না,sadhu
"ন্সিগ্ধ তন্থ নিদ্র(রসে-ভরা, মাথায় ছোটে",sadhu
বসন রাখিব দরিবলনিশি সরধাঙ্গ ঢাকিয়া,sadhu
সবাই কি আর জ্ঞানী হয়? জ্ঞান তো বিনয়ে সুন্দর।,cholito
ইহাকে আমরা কি প্রেম বলিব,cholito
“কোন নাম দেইনি,cholito
দোহাই তোমার-দোহাই তোমার ধর্মের-আগে আমার মাথা কাটো,sadhu
“কেন2”,cholito
"এই ঝামেলায় আপনি ইচ্ছা করে জড়িয়েছেন, তাই না",cholito
"“এখন শুনতে মজা লাগছে না 2,",cholito
তুমি বললেই অসম্ভব সম্ভব হবে,cholito
সত্যিকার মহাপুরুষরাও সম্ভবত এত ভালো করতেন না,cholito
"আমাদের অভিমান করিবার, কলহ করিবার, অপেক্ষা করিবার আর অবসর নাই",sadhu
"অন্তরে আগুন, মুখেও জয়নাব নাস শ্রবণে একেবারে আগুন হইয়া উঠিতেন",sadhu
আসগর সাহেব হাটতে পারছেন না,cholito
আজকের সকালে উঠেই মনে হয়েছিল যে কিছু ভালো হবে।,cholito
রাতের ট্রেনে রিনকিকে নিয়ে কক্সবাজারের দিকে রওনা হতে পারি,cholito
রী তখন সংক্ষেপে আপনার পূর্ববিবরণ সকল বলিল,sadhu
"এক্ষণে হাসান যেভাবে বসিয়া আছে, পৃষ্ঠে আঘাত করিলে বক্ষঃস্থল পার হইবে সন্দেহ নাই, কিন্ত ইবেন আব্বাস আমাকে কখনোই ছাড়িবে না",sadhu
"কিছু হতুম, সেটা হয়তে",sadhu
"“আপনার নেল পলিশ দেয়া খুব চমৎকার হচ্ছে, স্যার",cholito
"আমার ধর্ম ষে আগমনীর গান গাস্ক ষে এই-_ আঙ্বিন-কাতিক ১৩২৪ ভেঙেছ দুয়ার, এসেছ জেয11তএয়, তোমারি হউক জয় ৷ তিমিরবিদ্রার উদার অভ্যুদ তোমারি হউক জয়. হে বিজয়ী বীর, নবজীবনের গ্রাতে নবীন আশার খড়গ তোমার হাতে, জীর্ণ আবেশ কাটে",sadhu
"আমাদের শহরে অনেক সুন্দর জায়গা রয়েছে, যেখানে বেড়াতে গেলে মন ভালো হয়ে যায়।",cholito
” সখীগণের হাতে হাতে সে চিত্র ফিরিতে লাগিল,sadhu
তুমি কি খেতে চাও?,cholito
"যুবক কীপা কাপা গলায় বলল, আমি স্বাধীন",cholito
রাস্তায় রাস্তায় থাকলে খামাখা মেসে ঘর ভাড়া করে আছেন কেন,cholito
কিন্তু তাহা আপনি একটু পুষিদা না হইলে দেখাইতে পারি না,sadhu
ঈশ্বরের অনন্ত ক্ষমতার প্রতি একবার দৃষ্টিপাত কর; তাঁহাকে একটু ভয় কর,sadhu
আমি গোলাম অবাক,cholito
"বাবা হঠাৎ গলা নিচু করে বললেন, তোর ম৷ যে নেই এর জন্যে আমার ওপর",cholito
আমি আপনার মুখ দেখে বুঝতে পারছি,cholito
আমার সঙ্গে থাকতে চাচ্ছে না,cholito
"গঙ্গারামকে ধরিল এবং কাজি সাহেবের আজ্ঞান্ুারে তাহার হাতে হাতকড়ি ও পায়ে বেড়ী দিল এবং যে সকল কথার অর্থ হয় না, এরূপ শব্দ প্রয়োগপূর্ধবক তাহাকে গালি দিতে দিতে এবং ঘুসী, কীল ও লাথি মারিতে মারিতে কারাগারে লইয়া গেল",sadhu
"“তবে, আমি যে আপনার মহিষী হইবার কামনা",sadhu
"আমি ওসি সাহেবকে বললাম, মামলাটা ভালো সাজাতে পারেন নি",cholito
"হয়েছে, কাজেই মনে থাকার কথা | আপনার যা মনে আসে তাই বলেন |",cholito
জহির আমার অফিসের ঠিকানায় একটা চিঠি পাঠিয়েছে,cholito
"তোমার সেই ভক্ত ভিন্ন এ যুদ্ধ মনুষ্তের সাধ্য নহে |” তখন চন্দ্র, প্রাসাদশ্রিখর হইতে অবতরণ করিলেন",sadhu
"” মা বলিল, “চুপৃ",sadhu
আপনি কোথায় যেতে চান ড্রাইভারকে বললেই সে নিয়ে,cholito
আজকের রাতটা ছিল বেশ উজ্জ্বল আর তারার আলোয় ভরা।,cholito
"” গৃহিণী বলিলেন, “হায়",sadhu
"যদি এমন কাজ আর কেহ করে, আমি স্বহস্তে তাহার মাথা কাটিয়া ফেলিব",sadhu
"সে যতই রাগ করে, আমি ততই হাসি",cholito
হ্যা হ্যা আমি মীরা,cholito
আমার সঙ্গে না,cholito
"রঘুনাথ""ও তাহার সঙ্গিগণ দেড় ঘণ্টাকাল মুঘলদের, রোখ্‌ করিয়",sadhu
তীব্র হলো | অন্য কোনো ভূবন থেকে ভেসে এল নূপুরের ধ্বনি,cholito
রাস্তাগুলির জন্যে আমার মন কেমন করছে,cholito
"এই মিলনের পথ, শ্থজনের পথই ধর্মের পথ",sadhu
"আমি বললাম, আমেরিকানরা কোনো ঘটনায় দি খুবই বিস্মিত হয় তাহলে বলে",cholito
"বলিতে লাগিল, “যদি হোসেন আজ এ সময় পিপাসা নিবারণ করিতে বিন্দুমাত্রও জল পায়, তাহা হইলে আমাদের একটি প্রাণীও ইহার হস্ত হইতে প্রাণ বাঁচাইতে পারিবে না",sadhu
তথ্য থাকে সেই অংশ কাজ করে না,cholito
“আপনার বাবা কি আপিল করেছেন,cholito
"আমি অসম্ভব ভদ্র গলায় বললাম, কেমন আছেন",cholito
এই-যে মঙ্গল এর মধ্যে একটা মন্ত ছন্দ,sadhu
"রফিক পশু না,",cholito
কিন্তু এই মিলটাতেই আমাদের তৃপ্তির সম্পূর্ণতা কখনোই ঘটতে পারে না,sadhu
"হাবিবুর রহমান দুঃখিত গলায় বললেন, হিমু ভাই, কিছু মনে করবেন নাআপনি",cholito
আমার কিছুই হয় না,cholito
"“অনেক দুর, তাই না",cholito
"বললাম, একদিন দিনের বেলা এসে আপনাকে দেখাব- রোদে দাড়ালে আমার ছায়া",cholito
সবকিছু হারিয়ে নতুন করে শুরু করার নামই তো বেঁচে থাকা।,cholito
এখন তাহার অন্তথা করিতে চান কেন,sadhu
“আপনি কাজটা ঠিক করছেন না,cholito
তৃতীয় খগড-হষ্ঠ পরিচ্ছেদ ১০১ পলাও গঙ্গারাম,sadhu
এবং আমার উপর খুবই রাগ করছেন,cholito
আজ তুমি হলুদ পাঞ্জাবি,cholito
উরিদিলেনা আমারদিকে টিটি নিজেকিরে যেভাবে নিক্ষেপ করা হয়,cholito
হানািটেবেছেকিন কে জানে,cholito
"ভাবিলাম তোমাকে দেখিলে বোধ হয় কিছু শ্রান্তি দূর হইবে, পিপাসাও নিবারণ হইবে",sadhu
"ফুপা তিক্ত গলায় বললেন, ওরস্যালাইনা না",cholito
আমার সম্পর্কে রিনকির ধারণা অবশ্যি এত উচ্চ না,cholito
অনেকক্ষণ পর্যন্ত হাসল | মনে হলো মেয়েটা যে পরিবেশে বড় হচ্ছে সেই,cholito
রাজার মভিচ্ছন্ন ধরেছে বল্ছিলে কি,sadhu
সে ভালবাসা গিয়াছিল,sadhu
"যে মেয়েটি আপনাকে এখানে নিয়ে এসেছে, সে আপনার জন্যে বারান্দায় অপেক্ষা",cholito
সেই ছন্দে ছুই-এক মাত্র,sadhu
প্রায়ই আমাকে যেহেতু ভিক্ষা করতে হয় ওদের সাইকলজি আমি জানি,cholito
তাহাকে শেষে আর না দেখিতে পাইয়া প্রতিনিবৃত্ত হইল,sadhu
আমি আমেরিকা ফিরে যাবার পর__ ০৪ 815 017 ০01 0৬/0. অর্থাৎ,cholito
"এটা যে বাস্তব কিছু না, স্বপ্ন দৃশ্য সঙ্গে",cholito
কুৎসিত নাম সেই ভাষা মিষ্টি হবার কোন কারণ নেই,cholito
আমাদের দেশে সাধারণের মধ্যে নানা* স্থানে ধর্ম ও আচার লইয়া,sadhu
"এই সময়ে বঙ্গদর্শনে 'পাগল+ বলে ষে গগ্ভ প্রবন্ধ বের হয়েছিল সেইটে পড়লে বোঝা যাবে, কী কথাটা কল্পনার অলংকারের ভিতর দিয়ে নিজেকে প্রকাশ",sadhu
"আমরা তাহার চাকর; কিন্ত নূরনবী মোহাম্মদের শিষ্য, আপনার ভক্ত",sadhu
আপনারা কত টাকা দিতে পারেন সেটা জানা থাকলে বা সেটা সম্পর্কে আমার,cholito
আমি ছাদ থেকে নিচে নামলাম,cholito
"পৃথিবীতে যে মানুষের মতো ইন্টেলিজেন্ট প্রাণী এসেছে, এরা কেন এসেছে",cholito
একটি সামান্য বৃক্ষপত্রে তাঁহার শত সহস্র মহিমা প্রকাশ পাইতেছে,sadhu
"আমাকে দেখে উল্লসিত গলায় বলল, হিমুদা এসেছ",cholito
দে যখন বুঝিবে আমি তাহাকে আমার অন্থবর্তী অধীন করিবার জন্য বলপুর্ব্ক চেষ্টা করিতেছিনা__আমি নিজেকে তাহারই মঙ্গল সাধনের জন্ উৎসর্গ করিয়াছি তখনি সে বুবিবে আমি মানুষের সঙ্গে মন্থুয্যোচিত ব্যবহারে প্রবৃত্ত হইয়াছি--তখনি লে বুঝিবে বন্দে মাতরম্‌ মন্ত্রের দ্বারা আমরা সেই মাকে বন্দনা করিতেছি দেশের ছোটবড় সকলেই যাহার সম্তান,sadhu
আপনার গল্প শুনি,cholito
শুচি কী করছে,cholito
"চে ভারতবর্ষ রাজ্য লই়্া মায়ামারি, বাণিজ্য লইয়া কাড়াকাড়ি করে নাই",sadhu
আপনার টেকনিকটা,cholito
' উভয়ে ক্ষণেক নীরব হইয়া রহিলেন,sadhu
তাহার সহা হয় না,sadhu
অনেক বেলাতেও তথায় কেছ আসিব না,sadhu
"সেহেতু, তোমরা আজকেই পৌঁছাইবে।",sadhu
"মুখোমুখি হওয়া, আবার এই মুহুর্তে কেন জানি মন সায় দিচ্ছেনা",cholito
হিরগ্নয়ী বসিয়া আছেন__ আর কোথাও কেহ নাই,sadhu
"অক্সিত করে, শেষে ততৎসমুদয় পরস্পর সংলগ্ন করিয়া ছায়ালোকভিন্নতা লিখে",sadhu
"নয়, ভাঁলো করে দেখে নিতে সে সময় নেয়",sadhu
সবাইকে নিয়ে সাফল্যের শিখরে আরোহণ করুন।।,cholito
নিয়োগপত্র দিলে তীহাঁর ক্ষমতা সুনিশ্চিত এবং তীহার দীরিত্ব গভীরতর হইবে এবং তিনি কেনলমাত্র শিক্ষিতসম্প্দায়েব ই-রেজি- “বগ্তার অভ্যস্ত বুলির প্রতি কর্ণপাত ন,sadhu
আবার কড়া নাড়লাম যাতে মিসির আলি সাহেব দ্বিতীয়বার বলেন-,cholito
সোনার যা দাম সেই হিসেবে কিনতে হবে,cholito
এই মুহূর্তে আমি বসে আছি ওসি,cholito
তা হলে কিছু আদায় হইবে,sadhu
তোর সঙ্গে নাকি কী জরুরি,cholito
আপনি কি যাবেন,cholito
আমার স্থান কোথায়,sadhu
করে বানাতে হয় দেখে শিখে রাখ,cholito
ঐ মোল্ডি রুটির চিন্তা করলেই আমার খেতে মন আসছিল না।,sadhu
"১৩ ৯৮ কপালকুগুলা 1 এক্ষুণে একাকিনী অন্ধকার বদমধ্যে বলিয়া, অরও ভয়. বাড়িতে লাগিল",sadhu
এরকম গেলে তো৷ __ মরে যাবে,cholito
"আয়ি বুড়ী যত সেকেলে বাদশাহের তম্বীর আনিয়া দেখাইতেছিল--তাই আমরা হাসিতেছিলাম-_আমাদের রাঁজা রাজড়ার ঘরে শাহজশাহ] বাদশাহ, কি জাহাগীর বাদশাহের তস্বীর কি নাই",sadhu
"এখন তাহার চিত্তে ক্রোধই প্রবল-সে ক্রোধ সর্বব্যাপক, সর্ব্বগ্রাসক",sadhu
পুরোপুরি কাকতালীয় তাতে কি আপনার কোন সন্দেহ আছে,cholito
এতদিন আমি দেশের রাষ্ট্রসভায় স্থান পাইবার জন্ত নিজেকে প্রস্তত করি নাই,sadhu
টেরার গ্রুপের প্রধানরাও মাঝে মধ্যে থাকেন- শান্তিবাগ এলাকায় বন্টু,cholito
আমি উহা পারিব না,sadhu
পেছন থেকে আমার পাঞ্জাবি ধরে কে ঘেন টানল | আমি ফিরে দেখি চন্দ্র চাটী |,cholito
দিতে পারব না,cholito
"“আমাদের থানার রেকর্ড অফিসার বলল, আপনাকে এর আগেও কয়েকবার ধরা",cholito
"ওসি সাহেব শুকনো মুখে বললেন,",cholito
আমি কফি খেয়ে রেশমা খালার অপেক্ষা করতে করতে,cholito
আমি হাত বাড়িয়ে মানিব্যাগ তুললাম,cholito
"এখন তো কথা বলতে পারছেন না, তখন দেখা যাবে",cholito
"এই কারণে তাঁর খেলাতে কর্মের বাঁধন নেই, খেলাতে তার ছুটি",sadhu
ইলেনট্রিসিয়ানকে খবর দিয়েছিলাম__সে বলল কাট-আউট চুরি,cholito
” মোসলেম পৃত্রদ্বয় কারাধ্যরে সঙ্গে সঙ্গে চলিলেন,sadhu
মরুভূমি হয়ে যাবে,cholito
উল্লেখ করার মতো কিছুই চোখে পড়ছে না,cholito
": তা ব্যাপারটা কি হয়, কাল দেখতে যেতে হবে",sadhu
'আমি তো নীতু বলে কাউকে চিনি না,cholito
’ মনের ভুল নাকি,cholito
“আমি তোর বাবা,cholito
সেখানকার রাজপুতদের ভীত ও নিশ্চল করিয়া রাখিতে পারেন,sadhu
এই মানন্দের প্রকাশের মধ্যেই চিরস্তনত1,sadhu
"জয়নাল সাহেব বললেন, “জানালা খোলা রেখে ঘুমিয়েছেন",cholito
ইউক্রেনের সৈন্যরা সেলফলেসভাবে দেশকে রক্ষা করার জন্য নিজেদের জীবন উৎসর্গ করছে। 🦸‍♂️,cholito
“কাকতালীয় না- এর নাম হিমুতালীয়,cholito
অধীনের ইহাই বিনীত প্রার্থনা,cholito
"খুব সুন্দর নাম, সামছু হলে ভালো৷ হতো তবে ছামছুও খারাপ না |",cholito
"রূপা, আমি টেলিফোন রাখি",cholito
আজকের গোধূলি বেলাটা সত্যিই অদ্ভুত সুন্দর ছিল।,cholito
” এই বলিয়া পিপাসার্ভ আলী আকবর ভূমিতলে শয়ন করিলেন,sadhu
আমাদের বীচিবার .উপার আমাদের নিজেব শতকে সর্বতোভাবে জাগ্রত করা,sadhu
সেটা অতীতেরই পুনরাবুত্তি,sadhu
আপনার পরিকল্পনা কী,cholito
এবং ধাহাকে রক্ষাকর্তা বলিয়া দোহাই পাড়ি স্বয়ং তিনিই পুলিসের ধর্মবাপ হইয়া টাড়ান,sadhu
কোন্‌ গগনে মেঘের কোণে লুকায়ে কোন্‌ চার্দা রে,sadhu
মুসলেম মিয়ার সঙ্গে যোগাযোগের পরিকল্পনা আপাতত স্থগিত রাখলাম,cholito
নিয়মিত ব্যায়াম করিলে দেহ সুস্থ থাকে।,sadhu
"আমি জানি, অনাদ্দিকাল হইতে বিচিত্র বিশ্বৃত অবস্থার মধ্য দিয়া তিনি আমাকে আমার এই বর্তমাঁন প্রকাশের মধ্যে উপনীত করিয়াছেন-_ সেই বিশ্বের মধ্য দিয়] প্রবাহিত অস্তিত্বধারায় বৃহণ্ণ ম্থৃতি তাঁহাকে অবলম্বন করিয়া",sadhu
থানার ভেতরটা ফাকা,cholito
"অন্রবয়স্ক বালক-বালিকাগণ যখন পিপাসায় কাতর হইবে, জিঙ্বাকন্ঠ শুষ্ক হইয়া অর্ধোচ্চারিত কথা বলিতেও ক্ষমতা থাকিবে না, তখন কি করিবেন",sadhu
পরে কনিষ্ঠ ভ্রাতা এব্রাহিমের মাথা মাটিতে গড়াইয়া দিল,sadhu
তিনি জানালার পর্দা সরিয়েছেন পানের পিক ফেলার জন্যে |,cholito
যুরোপে আমেরিকার কৃষির নানাগ্রকার মিতশ্রমিক যন্ত্র বাহির হইয়াছে -_নিতাস্ত দারিদ্র্যবশত সে সমস্ত আমাদের কোনো কাজেই লাগিতেছে না--অন্প জমি ও অল্প শক্তি লইয়া,sadhu
“না বলে নি,cholito
"এই যে আমি ফুটব, জন্মের মতই ফুটব",cholito
’ নীলু কিছু বলল না,cholito
রাস্তায় গিয়ে দাড়াবি না,cholito
সত্যি কথা বলতে কি আপনাকে যে ঘুম থেকে তুলেছি- ঘটনাটা বলার,cholito
“কে বলল পৃথিবী রূপকথা নয়,cholito
সে উর্দশ্বাসে পলায়ন করিল,sadhu
“আপনি কি বলতে চাচ্ছেন কিছুই বুঝতে পারছি না,cholito
আপনাকে - ব্রেইন,cholito
অকল্মাজ নবকুমাঁরের পৃষ্ঠদেশ কাঘার কোমল করম্পর্শ হইল,sadhu
"আমাদের ধাত্রা-কথকতাঁয় অনেক শিক্ষা আছে, সে শিঙ্গা আমরা ত্যাগ করিতে চাই না, কিন্তু তাহার উপরে নূতন করিয়া আরে",sadhu
আপনার আদেশ লঙ্ঘন করিব না,sadhu
কাগজগুলো করিয়া দাও দূর,sadhu
আমি জানি না,cholito
মনে হয় ষেন জানি এই অকথিত বাণী-- মূক মেদিনীর মর্ের মাঝে জাগিছে ষে ভাবখানি,sadhu
মহাপুরুষ : তুমি কি আমাকে অপমান করার চেষ্টা করছ,cholito
“এখুনি কি রওনা দেবেন,cholito
তুই বেটা ভারি বৈধ,sadhu
আমি কৌটা দেখে মুগ্ধ হয়ে একটা পান নিলাম,cholito
"তুমি কি জানো, সকালে ঘুম থেকে ওঠা আমাদের শরীরের জন্য কতটা উপকারী?",cholito
“এমনি যেতাম | ছোট বাচ্চা পুতুল খেলে না,cholito
"সৈন্যগণকে বলিলেন, “ভাই সকল",sadhu
কিন্তু এই ব্যাপারটার উপরে বুক দিয়া,sadhu
নদীটার নাম ময়ুরাক্ষী,cholito
গঙ্গারাম কীটাণুকীট-__আপনার তার প্রতি দয় কিসে হইল,sadhu
"এবং একসময় হালকা স্বরে বলল, “আমার একটা অসুখ আছে",cholito
"আমি আবারও বললাম, ও আচ্ছা",cholito
আচ্ছাঃ এ আবার নৃতন ব্যাপার কি,sadhu
আমরা আক্ষেপ করিয়া,sadhu
"” ওমর বলিলেন, “তুমি কাসেমকে জান না",sadhu
"উঠেছি, তার পরেও চোখ থেকে ঘুম যাচ্ছে না",cholito
"কোন স্থানে শকত্রসৈন্যের নাম মাত্রও নাই, রক্তস্রোত মধ্যে শরীরের কোন কোন ভাগ লক্ষিত হইতেছে মাত্র",sadhu
"‘এখানে কোথাও | আর শোন নীলু, চা খেতে-খেতে তোমাকে আমি একটা",cholito
আদিতে ছিল মহাশুন্য,cholito
“তার চেহারার বর্ণনা দিতে তো আপনাকে বলিনি,cholito
” তখনই ছুই জনে বাজারে গিয়া আর একটা ঘর লইল,sadhu
আমাদের সমাজে কোনো দল সেই কেন্দ্রের স্থল অধিকার করিতে পারিবে না,sadhu
“ভেেনা,cholito
দামেস্ক এবং কুফার সৈন্যের তরবারি-ধারে হোসেন-মস্তক নিশ্চয়ই দেহ-বিচ্ছিন্ন হইত,sadhu
ওর নাম কী,cholito
এক অন্তরে দুই মূর্তির স্থাপন হওয়া অসন্ভব,sadhu
