sentence,label,source
The money order did not go home for two months,cholito,Book
"Remains, Kavu raises hi-_ chest bursts mom",sadhu,Book
I feel like I am eating Pir Saheb's water,cholito,Book
Hamra bolneshe nimkaharami kiya hai,sadhu,Book
Now say your first question,cholito,Book
,cholito,Book
Today please,sadhu,Book
"I searched so much, I couldn't find anything",sadhu,Book
"By doing so, even if one chants the mantra 'Bande Mataram', one will not pay respect to the mother - and commit treason in action by calling the people of the country 'brother'.",sadhu,Book
I do if I like someone,cholito,Book
Wearing a white sheet,cholito,Book
Jeevan Bhandari looks at him and looks at him,sadhu,Book
,sadhu,Book
The skeletons of Navakumar were tied together with ax in hand.,sadhu,Book
,cholito,Book
The head lightened up,cholito,Book
"I said, I think you have some powers",cholito,Book
"If not, there is no harm",cholito,Book
Madhuri wakes up in the morning,sadhu,Book
"” The horse stood still, his rider galloping down the mountain on foot.",sadhu,Book
,sadhu,Book
I have given it to Zahar Begum Saheba,sadhu,Book
"I am very simple, very innocent Himu",cholito,Book
,sadhu,Book
That gives you five,cholito,Book
The nail is up,cholito,Book
"Why, success is imminent",sadhu,Book
And don't forget to grab your paws,sadhu,Book
,cholito,Book
"I know, your recommendation will be a lot of work now",cholito,Book
We finished eating in silence,cholito,Book
Mrs. Neetu has taken care of all the expenses for your treatment,cholito,Book
Sword in hand jumps,sadhu,Book
,cholito,Book
I am full of all things and without want,sadhu,Book
"Misser Ali laughed and said, Nah, none of you have ESP",cholito,Book
Sitting quietly in the chair near the feet,cholito,Book
Five feet seven inches,cholito,Book
,cholito,Book
"Behold, the Father is standing for the peace of my thirst with the sweet-smelling cool water of Amarpuri - filled with jeweled hands.",sadhu,Book
The age of Hazrat Isa Alayhes Salam was the era of medicine,cholito,Book
The police arrested him and took him away,cholito,Book
,cholito,Book
Leaving the hand of the forehead with the breath,sadhu,Book
Frogs were not found in any nearby restaurants,cholito,Book
You put the thing in the father's head,cholito,Book
Is it believable?,cholito,Book
But he has a weakness for this shirt,cholito,Book
Hove need- public timber gathering,sadhu,Book
Humiliating that aunt every day and worshiping the same clothes,sadhu,Book
I did not employ him to take Hasan's message to Zainab,sadhu,Book
Birhi is not saddened by grief,sadhu,Book
"35 All is well, in this devotion leads us to blind imitation _ thereby leading us away from true Englishness.",sadhu,Book
"Neelu hesitated and said, why did you give this advertisement again",cholito,Book
"He who is nimble, he who is ever-changing in the forest in the forest",sadhu,Book
"But, whenever such arrangements are made in advance for a future event, the action of the future becomes inevitable, and the physical power is unable to prevent it.",sadhu,Book
,cholito,Book
Yukhi looked at me silently for a while and laughed,cholito,Book
"After winning the battle, they caught him and Sitaram and beat him",sadhu,Book
We fell face to face with the patrolling police,cholito,Book
The thief crouched near my bed,cholito,Book
Majnu Mia is over,cholito,Book
"Gangaram was seized and, on the orders of Kazi Saheb, he was handcuffed and shackled and taken to jail after he was abused by words that did not make any sense, punched, nailed and kicked.",sadhu,Book
"On the other hand, the glorious ancient history of Ghazipur is nowhere to be found in bold",sadhu,Book
,sadhu,Book
,cholito,Book
But others are happy to talk,cholito,Book
Put the poison in the skull,sadhu,Book
,sadhu,Book
"Where Europe exerts itself for self-defense, ours is in vain for self-preservation.",sadhu,Book
,cholito,Book
Zayda stayed up all night and ministered,sadhu,Book
He is also an expert in weaponry,sadhu,Book
At this time Navakumar's bile,sadhu,Book
Thattari left the market,cholito,Book
Zahir's eyes started to shine,cholito,Book
It was known to all that the virgin Ked spoke alone with this young man,sadhu,Book
,sadhu,Book
,cholito,Book
Girls have stronger secretions than boys,cholito,Book
,cholito,Book
He is terribly angry with you,cholito,Book
"Dreams go away, come back again",cholito,Book
We all have newly sharpened teeth in our ax,sadhu,Book
Your father was crazy but not good,cholito,Book
And in a separate container,sadhu,Book
,cholito,Book
"Then Mr. Khalu said, ""You don't know the real story.""",cholito,Book
I can say many things,cholito,Book
"Tea leaves and sugar are available, or should be bought",cholito,Book
I left it with old clothes at Neetu's house,cholito,Book
"I said with a smile, one day I will come and show you - standing in the sun, my shadow falls",cholito,Book
Take it easy and eat rice with me,cholito,Book
"I said, why are you looking the other way?",cholito,Book
That illusion is gone now,sadhu,Book
,cholito,Book
Will he get the courage to jump into the sea in the hope of salvation?,sadhu,Book
Don't leave even if I say so,sadhu,Book
"I gave no flavor Ira, you are imagining it",cholito,Book
,cholito,Book
What happened to your friend's job?,cholito,Book
,sadhu,Book
I have also come to visit the king's begum-_I am hiding like a thief,sadhu,Book
"The eyes that always wanted to see him, never wanted to see him until they saw Zainab's eyes.",sadhu,Book
,cholito,Book
,sadhu,Book
"Of all the types of death, Rajdhi is the best",sadhu,Book
"If this situation continues for another three or four days, the boat will definitely go down on the road",cholito,Book
The beer can certainly go on,cholito,Book
It is pointless to look for him here,cholito,Book
,sadhu,Book
Lately the people of Dhaka have caught the bird-petting habit in the big bird market in Nilakshet,cholito,Book
Aren't you a Maldar party?,cholito,Book
Your home seems far away,cholito,Book
Where was Gautama Buddha born?,cholito,Book
*Swadesi Samaj” Appendix to the Essay,sadhu,Book
,sadhu,Book
The one-eyed beggar wants to know the date,cholito,Book
Do you not know how many times the quality has increased?,sadhu,Book
,cholito,Book
"Akbar, humiliated and shocked, wrote to his father: “The events which resulted from the astonishing toil and activity of the abominable infidels.",sadhu,Book
Tell me your aunt is very angry,cholito,Book
,sadhu,Book
You don't want Rupa to talk to me,cholito,Book
"What I said I would show at once, you will see.",sadhu,Book
,cholito,Book
"When she gets some time off, she worships God and prays for her husband's recovery",sadhu,Book
Night dawned,sadhu,Book
"In Kundar's heart there is an alchemy of mysterious mastery past truth, an ineffable bond with our very being.",sadhu,Book
How can I get news 1 Ganga,sadhu,Book
"As soon as he pointed to Marwan, the priests, nuns, family members all came together",sadhu,Book
,sadhu,Book
I have nothing to say,cholito,Book
,sadhu,Book
Even if you fill the envelope and send it by post,cholito,Book
I don't like responsibility,cholito,Book
Mr. Khalu took a short breath and lit a cigarette,cholito,Book
Others cannot be trusted with these,cholito,Book
I thought I would go to Purushottamdarshan,sadhu,Book
"You are a master, you are what you say",cholito,Book
Both traveled a long way---neither spoke a word in between) At last a parnakuti was found--Kapalika entered first and allowed Navakumar to enter.,sadhu,Book
Festivals are everywhere,cholito,Book
How long will it take to cut his fortune?,cholito,Book
I will tell Yad,cholito,Book
"He did not have the inclination to go to the poor girl to fill his heart; Why not, the close relationship of this self-interest with the fairy; Sri is the reason why he cries to Rama",sadhu,Book
,sadhu,Book
"It will not be from me"" said the king, ""You will have to go to Shul",sadhu,Book
,cholito,Book
The method of giving gifts of silver is very beautiful,cholito,Book
"The grave did not touch the script with his fingers, but he did not read the script.",sadhu,Book
"If it was anyone else, the door hook would not have been installed",cholito,Book
What is this Chui Devta's performance is always broken,sadhu,Book
Kule Khinsikh at the edge of the reservoir,sadhu,Book
Earlier Commander Omar had told everyone that Abdul Wahab had gone back for some reason and would be back soon.,sadhu,Book
"Anj you have got a husband 1” said Nirmal, Adhovdan",sadhu,Book
"Hussain got up from the bed and began to say in a sad voice, ""My beloved brother, the brother who was born first in the womb of a mother, who has poisoned me while I was alive, will he survive like that.""",sadhu,Book
I have a lot to say,sadhu,Book
"” Moti understood, “Mechher-unnis",sadhu,Book
That remains in mind,cholito,Book
you don't you,cholito,Book
Disguise may be necessary in Delhi,sadhu,Book
,sadhu,Book
Ranu's second story I just got married,cholito,Book
I remember where the boy's flute was played by the boy,sadhu,Book
Cinchona Santa is among the cheapest,sadhu,Book
,cholito,Book
"At first I see only the glimmer of light and the fluid coils of the moving waves, the sound is dim, the stream's path deep and the color of the water thick.",sadhu,Book
They call despair the more hopeless we are,sadhu,Book
The teat feeling is almost gone,cholito,Book
,sadhu,Book
I have tears in my eyes for you,cholito,Book
,cholito,Book
I quickly braced myself,cholito,Book
I am sitting on the sofa to their right,cholito,Book
,sadhu,Book
(Ejid just heard this and left Haman's hideout in fear,sadhu,Book
"His forerunner, brave Mahavir Muslim, has been captured by trickery",sadhu,Book
Kapanalkugula forgot one thing during the journey,sadhu,Book
The coffee shop will close at midnight,cholito,Book
He seems sad because he is not being bullied,cholito,Book
,cholito,Book
At that time a passer-by came there,sadhu,Book
Who cares?,cholito,Book
,cholito,Book
,cholito,Book
There will be no arrangement for listening to music,cholito,Book
CNN would have caught this scene on camera if there were people on TV,cholito,Book
"He was only there, but his words from that far away did not stir any fear.",sadhu,Book
,sadhu,Book
""" Saying Pisi took her daughter in her arms",sadhu,Book
Want to think about something,cholito,Book
He opened the biscuit tin and took another biscuit,cholito,Book
"I am Balaram, sir, I don't have cigarette",cholito,Book
,sadhu,Book
"Sitaram's fire had been burning for many days, now the house was on fire",sadhu,Book
How long has your fever been?,cholito,Book
"Have discussed many times; In fact, we have the idea that keeping in mind that the authorities have divided Bengal into four parts, the East and the East, and 'Bunke Banga' means 'distorted') the number of Muslims in the East of Bangladesh is more.",sadhu,Book
Asked to submit another biodata,cholito,Book
"Like a star-studded figure--Sweet body with no ornamentation, Well-shaped wheel, rather more lustrous light, 48 foreheads.",sadhu,Book
Kazi asked Fakir's mouth to drink,sadhu,Book
I have decided to stay here for a few days and try to understand your mind.,sadhu,Book
,cholito,Book
,sadhu,Book
"The manager said in a shocked voice, he cannot read the letter now",cholito,Book
"It is noted that during the conversation with the reporter, the police authorities gave him a lungi to wear, but he refused it",cholito,Book
"The heathen blood flows under the horse's feet, the battlefield is filled with human bodies, the advancing horse is crushed in the sodden soil; However, Mahavir Muslim is not refraining from giving thanks",sadhu,Book
,sadhu,Book
,cholito,Book
That food is yesterday,cholito,Book
Its character has also been kept as it is in history,sadhu,Book
He leaned slightly towards me,cholito,Book
Syed Hasan Ali admitted that none of the Banuvarg would be present,sadhu,Book
"At that moment a second Dthya, who was sitting near the leader, turned towards Bhaha and the Rajput kicked him so hard on the head that he fell to the ground.",sadhu,Book
There was a class at twelve o'clock,cholito,Book
,cholito,Book
I will not mention any other candidate,sadhu,Book
Otherwise this arrangement is over,sadhu,Book
", take off your clothes and eat at meal time",cholito,Book
After evening the news of Sunmoy is Adil,sadhu,Book
,cholito,Book
,sadhu,Book
,cholito,Book
The arrow did not hit the surface and went through a side of the valley,sadhu,Book
"A few days ago, most of the shops were closed",cholito,Book
There was a noise,sadhu,Book
"When he left the war and came back to save his life with a little water and thirst, showing his back to the enemy",sadhu,Book
"As he was thinking thus, he saw that the men of honor were showing him with their hands extended and talking to each other.",sadhu,Book
,sadhu,Book
i don't care,cholito,Book
Why are you walking around?,cholito,Book
"""Someone said, ""Sitaram Allah",sadhu,Book
It is the door to bestow wealth on Durkanal and Vachhujan,sadhu,Book
"Don't eat if it's under your pillow, you'll fall asleep",cholito,Book
Trying to understand me with a cold head,cholito,Book
Anna digests sorrow easily 55,sadhu,Book
He looked at me for a while,cholito,Book
My brain is changing brother-in-law to brother-in-law,cholito,Book
Maymuna advises to mix that kautar vant with food,sadhu,Book
,cholito,Book
,sadhu,Book
Talks about you - but doesn't look for you,cholito,Book
"You are telling me, now you are doing it in front of a beautiful girl",cholito,Book
,sadhu,Book
Pain also felt at home,sadhu,Book
I came out of the door and saw Dabir Khan sitting on the balcony doing ablution for prayer,cholito,Book
"He said, ""This is not the place to read Manik Lal-_Patra.""",sadhu,Book
"Thinking this, the intelligent Zayda, with a satisfied heart, left the throne and sat on the left side of the throne.",sadhu,Book
I checked whether you really know,cholito,Book
"If I give it to your brother-in-law, he will get angry and think that I have a brain defect",cholito,Book
I looked away with a hard face,cholito,Book
"Rama also left the bed, wiping his tears, took Pujra in his arms and kissed him.",sadhu,Book
,sadhu,Book
I myself sat next to the cook and showed the cooking,cholito,Book
,cholito,Book
I ask to apply the bandage,cholito,Book
,sadhu,Book
Smiley faces should be removed from the face,cholito,Book
,cholito,Book
"The cane, the flesh was cut and taken away, leaving a stream of blood in the hand",sadhu,Book
Thus the soldiers of Ajid advanced no more; Stopped traveling and started building camp,sadhu,Book
The purpose of action is not merely a present result,sadhu,Book
But Kim's Anshink1,sadhu,Book
"He said hoarsely, you",cholito,Book
,sadhu,Book
,cholito,Book
Zainal Sahib started laughing at them in a shy manner,cholito,Book
"My very dear father, father, mother is very ill",cholito,Book
Himu don't mess with me,cholito,Book
"After passing Bantapunna, that is great",sadhu,Book
,sadhu,Book
Where is the girl hiding?,cholito,Book
Fulfulia looked into my eyes for a long time,cholito,Book
Can't remember anyone's name,cholito,Book
Things are not good--no Begum likes Bhaha,sadhu,Book
It was felt from the tone of the words that this woman is not very old,sadhu,Book
Felya Adira,sadhu,Book
"Bandhimachandra's biographers have also briefly described this ""triad"".",sadhu,Book
,sadhu,Book
If Mahibi vows that Uddipuri will decorate his tobacco-_Raushswara will fan him” Devi,sadhu,Book
He is not coughing yet,cholito,Book
Angry going to girlfriend's house on wedding day is part of that drama,cholito,Book
"Rama beckoned to Ditaram in a whisper, 116 Sitaram “Take her in your arms once.",sadhu,Book
"But if tomorrow is the day, he will feed the famous magur fish of Haringhata",cholito,Book
Wearing a coconut necklace,cholito,Book
Then gradually enlarge the circle,cholito,Book
My body is my killer,sadhu,Book
The price was two hundred and thirty three rupees,cholito,Book
The astrologer calculated,sadhu,Book
"While Sitaram was engrossed in music surrounded by beautiful flowers, news reached Sitaram that “Mrigmoy is dying.",sadhu,Book
In the beginning there was nothing,cholito,Book
The employees put two tables together and sit in a circle,cholito,Book
The king used to visit him every day,sadhu,Book
,cholito,Book
"But the four Brahmins or Rajputs are very ardent, once they eat moon, they cannot forget it.",sadhu,Book
The diseases you are talking about can never be cured,cholito,Book
He had to drag the box around,cholito,Book
"Oh, the life of a stone is harder than a stone",sadhu,Book
I set him apart as insane,cholito,Book
"The gentleman said, it's a long night",cholito,Book
"In the hearts of all the people, every letter, letter, and sign of Ajid's letter was like an arrow.",sadhu,Book
,cholito,Book
"If my condition were good, I would have kept many slaves; They did all the work",sadhu,Book
,sadhu,Book
"Because the person who is working has responsibility, the person who is not working, talking, has no responsibility,--there can never be a futile exchange between these two parties.",sadhu,Book
You should not have such a bad idea about your appearance,cholito,Book
how are you friend,cholito,Book
If the world power in my imagination is spoken in my life in such a way,sadhu,Book
Cucumbers are being cut and sold here,cholito,Book
", that Tamannaah's younger brother fell from a rickshaw and got leg pain",cholito,Book
"I said, you will come and take it sometime, there is no problem",cholito,Book
Twenty thousand is my last offer,cholito,Book
,sadhu,Book
Aunt opened the door,cholito,Book
"He can't name the one he sees, he is a nun",sadhu,Book
,cholito,Book
I will not attempt this task,sadhu,Book
"If there is no work, you will also go that day",cholito,Book
You don't have to fly in the morning in search of food,cholito,Book
Both parties took out victory marches,cholito,Book
,cholito,Book
Imrul lives with me,cholito,Book
Her crying is increasing,cholito,Book
,sadhu,Book
"""Emigrate with this traveler"" Kapalkugula was silent",sadhu,Book
"In a voice like a school headmaster, he said, ""Sit down, young lady.""",cholito,Book
Now he stood up,cholito,Book
"If you go on the way to the desert Karbala, you will see the fugitive Hossain",sadhu,Book
"Moreover, the thread of my thoughts was cut",cholito,Book
I was the only student in the school,cholito,Book
"Five thousand seals are your goal, heart and talk",sadhu,Book
I liked Rehana more,cholito,Book
There was such a problem that the school almost gave me TC,cholito,Book
"Therefore, I consider this dispute to be a major issue",sadhu,Book
,cholito,Book
And he did not wish to be a dentist) but why not see if the former friends died or lived?,sadhu,Book
Today or tomorrow will die of this thirst,sadhu,Book
"Maniklal had done a trick, they also managed to get rid of it",sadhu,Book
Looking the way I look,cholito,Book
We don't see a quarter of what happened,sadhu,Book
,sadhu,Book
", Mr. Khalu said with a shy face, yes, yes",cholito,Book
Don't worry about job job - there is no blessing in job,cholito,Book
Hiraganyi knew how to read,sadhu,Book
,sadhu,Book
,cholito,Book
Have you completely forgotten about the last day?,sadhu,Book
Yuvraj's No1 Tihar Mahishi's 1” Moti Kini: Apratibha Huyy,sadhu,Book
You seem like a smart boy,cholito,Book
"Saddened by your grief, we have come to you in disguise at this time",sadhu,Book
I think it is better not to theorize about some mysterious things,cholito,Book
With the passage of time this power of man has been lost,cholito,Book
But there is no fire in the cigarette,cholito,Book
,sadhu,Book
His behavior seems normal,cholito,Book
One will stop first and another will stop behind it,cholito,Book
,sadhu,Book
Say it a little louder Jibanbabu,cholito,Book
"Where the country derives all benefits, he will naturally give all his heart.",sadhu,Book
,sadhu,Book
The girl is wearing a blue colored saree as usual for Jalsatra girls,cholito,Book
He made three or four telephone calls while we were sitting,cholito,Book
"Hossain said, ""This is not a bad thing; But useless waste of time and delay",sadhu,Book
Bengali language does not have adjectives to describe this quality,cholito,Book
I hope you don't talk to anyone about this treatment,cholito,Book
"The nun began to say, ""And mother does not address you, we are both of the same age, we are four sisters"" Shri.",sadhu,Book
,cholito,Book
"Although it is quite strong, it is moving slowly",cholito,Book
"He took out the picture and handed it to Chanchalkumari, saying, ""Here",sadhu,Book
What is the ability of people to break the pattern?,sadhu,Book
,sadhu,Book
Now I have forgotten myself,cholito,Book
,sadhu,Book
"If Qasem got even a drop of water, not only the name of the soldiers of Ejid would have remained, but the bodies would have floated down the Euphrates with the sound current, and there would be no trace of where they had gone.",sadhu,Book
I know the suffering I am suffering,sadhu,Book
"I was surprised and said, Badal is not in the country",cholito,Book
All the Ghatris got down from the bus,cholito,Book
"Anis raised his voice and called, Ranu",cholito,Book
"Whatever is on my forehead, what I saw in my dream, I will never be able to give up the lure of a thousand mohars.",sadhu,Book
Barshite Par] Bai na,sadhu,Book
"Once he thought that Janakat would take the sepoys and arrest Gangaram and give the burden of protecting the city to someone else, but he also thought that the sepoys were not his subordinates, but Gangaram's subordinates.",sadhu,Book
No one said a word,sadhu,Book
"""I don't believe this,"" said one of them in a half-hearted voice amid the cheers.",sadhu,Book
He seems to be alive,sadhu,Book
"He could have said with Vishwas, Tamebaikong Zeenath Atmanam--. Know that One, know the all-pervading soul, atmanyeva, in your own soul, not in ritual, but in human love, in good deeds, not in subjectivity, but in the inspiration of the soul.",sadhu,Book
,cholito,Book
,cholito,Book
He seems very upset and worried,cholito,Book
I go back to the dirty face in the morning,sadhu,Book
"That birth, but the mother falls, why is it bound to the bosom? In the face of death, Sinkutranga will not give it to her, she wants to cry and share the treasure of her heart.",sadhu,Book
: This world is very mysterious,cholito,Book
"The water of the sea entered his ear, and he understood that it was the roar of the sea.",sadhu,Book
He has to walk alone,cholito,Book
Sitaram says to Rama fearing Keydakati,sadhu,Book
In his Bhairi he wrote - Preparatory training will be given in Rajni today to conquer the fear of Himalayas.,cholito,Book
"He said uneasily, ""Shona.""",cholito,Book
,cholito,Book
The name of the magazine cannot be read as the top page is torn,cholito,Book
How far was the Unlimar Manoratha buried?,sadhu,Book
,cholito,Book
"Everyone praised Abdul Jabbar in one sentence and said, ""Abdul Jabbar's forehead turned.",sadhu,Book
There is also a library room,cholito,Book
Why do you die in the dark in this tiny light?,sadhu,Book
Only Chanchalkumari's loved ones are happy,sadhu,Book
,cholito,Book
"” Zayda shed tears down her face, not saying a word",sadhu,Book
I don't know your name,cholito,Book
,cholito,Book
He has also disappeared,cholito,Book
,cholito,Book
"""Karput Haman said, ""King Namdar",sadhu,Book
,cholito,Book
"I swear, I will never do zinc again",sadhu,Book
,sadhu,Book
"Since I was able to go in once before, why can't I now?",cholito,Book
